Index;Service;Subservice;Packet Name;Datatype;Name;Size [Bytes];Comment
1;3; 25 and 26;HkPacket;sid_t;sid;4;Structure
2;3; 25 and 26;HkPacket;uint8_t *;hkData;deduced;[MAXSIZE] Deduced size
3;6; 2;LoadToMemoryCommand;uint32_t;address;4;
4;6; 2;LoadToMemoryCommand;typeOfMaxData;Size of following buffer;;
5;6; 2;LoadToMemoryCommand;uint8_t *;data;deduced;[SIZEFIELD] uint16_t [BUFFERTYPE] uint8_t
6;6; 2;LoadToMemoryCommand;uint16_t;checksum;2;
7;6; 5;DumpMemoryCommand;uint32_t;address;4;
8;6; 5;DumpMemoryCommand;uint32_t;dumpLength;4;
9;6; 9;CheckMemoryCommand;uint32_t;address;4;
10;6; 9;CheckMemoryCommand;uint32_t;checkLength;4;
11;6; 6;MemoryDumpPacket;object_id_t;memoryId;4;
12;6; 6;MemoryDumpPacket;uint32_t;address;4;
13;6; 6;MemoryDumpPacket;uint16_t;length;2;
14;6; 6;MemoryDumpPacket;uint8_t *;buffer;deduced;
15;6; 6;MemoryDumpPacket;uint16_t;crc;2;
16;6; 10;MemoryCheckPacket;uint32_t;address;4;
17;6; 10;MemoryCheckPacket;uint32_t;length;4;
18;6; 10;MemoryCheckPacket;uint16_t;checksum;2;
19;9; 128;TimePacket;uint8_t *;timeBuffer;deduced;
21;20; ;ParameterCommand;uint8_t *;parameterBuffer;deduced;
22;3; 25 and 26;HkParameterReport;uint8_t *;hkBuffer;deduced;[MAXSIZE] 1024 Bytes
23;3; 1, 2, 10 and 12;HkPacketDefinition;None *;parameterList;deduced;[MAXSIZE] 1024 Bytes [TYPE] uint32_t
27;3; 31 and 32;hkModifyCollectionIntervalCommand;float;collectionInterval;4;
28;201; 1;HealthCommand;uint32_t;objectId;4;Target
29;201; 1;HealthCommand;uint8_t;health;1;Health
30;201; 2;HealthSetReply;uint32_t;objectId;4;Source
31;201; 2;HealthSetReply;uint8_t;health;1;New
32;201; 2;HealthSetReply;uint8_t;oldHealth;1;Old
